"id","election_id","district_id","precinct_id","user_id","possible_voters","special_voters","votes_by_1200","votes_by_1700","ballots_signed_for","ballots_available","invalid_ballots_submitted","party_1","party_2","party_3","party_4","party_5","party_6","party_7","party_8","party_9","party_10","party_11","party_12","party_13","party_14","party_15","party_16","party_17","party_18","party_19","party_20","party_21","party_22","party_41","created_at","updated_at","is_valid","is_extra"
"80","1","3","2","25","1358","7","230","701","826","1250","13","1","2","0","8","155","0","1","0","27","4","16","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:45:39","2013-10-27 21:45:39","NULL","1"
"81","1","3","2","32","1358","7","230","701","826","1250","13","1","2","0","8","155","0","1","0","27","4","16","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:45:49","2013-10-27 21:45:49","NULL","1"
"82","1","3","2","20","1358","7","230","701","826","1250","13","1","2","0","8","155","0","1","0","27","4","16","0","0","84","2","2","1","0","0","0","0","0","509","2013-10-27 21:45:52","2013-10-27 21:45:52","NULL","1"
"83","1","3","2","23","1358","7","230","701","826","1250","13","1","2","0","8","155","0","1","0","27","0","16","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:45:55","2013-10-27 21:45:55","NULL","1"
"84","1","3","2","26","1358","7","230","701","826","1250","13","1","2","0","8","155","0","1","0","27","4","16","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:45:57","2013-10-27 21:45:57","NULL","1"
"85","1","3","2","29","1358","7","230","701","826","1250","6","1","2","0","8","155","0","1","0","27","0","16","0","0","84","2","0","1","0","0","0","0","1","509","2013-10-27 21:45:59","2013-10-27 21:45:59","NULL","1"
"86","1","2","56","37","1604","9","217","651","804","1500","29","0","0","0","5","162","2","3","0","21","11","3","1","0","73","2","2","1","0","0","1","0","1","487","2013-10-27 21:46:02","2013-10-27 21:47:17","1","0"
"87","1","3","27","18","1386","10","235","650","795","1300","21","0","1","1","2","140","0","0","0","21","1","2","0","0","66","4","2","0","0","1","0","0","1","532","2013-10-27 21:46:02","2013-10-27 21:46:02","NULL","1"
"88","1","3","2","30","1358","7","230","701","826","1250","13","1","2","0","8","155","0","1","0","27","4","16","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:46:07","2013-10-27 21:46:07","NULL","1"
"89","1","3","27","27","1386","10","235","650","795","1300","21","0","1","1","2","140","0","0","0","21","1","2","0","0","66","4","2","0","0","1","0","0","1","532","2013-10-27 21:46:10","2013-10-27 21:46:10","NULL","1"
"90","1","1","11","2","1601","7","222","668","826","1","9","1","0","0","10","170","0","3","0","27","4","8","1","0","93","0","0","0","0","0","1","0","0","499","2013-10-27 21:46:13","2013-10-27 21:46:27","0","0"
