region,district id,district name,უბანი,მომაგრებული უბანი,ერთიან სიაში ამომრჩეველთა რაოდენობა,სპეციალურ სიაში ამომრჩეველთა რაოდენობა,აქტივობა 12 საათი,აქტივობა 17 საათი,არჩევნებში მონაწილეთა რაოდენობა,num ballots,ბათილი ბიულეტენები,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1,4,5,9,10,17,19,23,24,26,30,35,36,38,40,41,42
,3,,34,90,1328,775,784,1561,1711,,34,,,,,,,,8,2,910,,16,,,53,8,,4,,0,10,,658,
,3,,35,92,1562,844,261,781,1778,,54,,,,,,,,8,1,684,,16,,,42,7,,2,,0,26,,933,
,3,,36,,1558,7,502,1001,1096,,20,,,,,,,,15,2,223,,8,,,36,10,,3,,0,16,,760,
,3,,37,,1553,6,475,994,1147,,18,,,,,,,,10,5,246,,15,,,26,10,,2,,0,8,,804,
,3,,38,,1494,7,437,835,992,,23,,,,,,,,5,2,226,,12,,,25,4,,5,,0,12,,676,
,3,,39,,1235,8,325,793,916,,21,,,,,,,,5,4,173,,10,,,36,10,,2,,1,5,,649,
,3,,40,,1590,3,490,973,1097,,26,,,,,,,,9,1,208,,14,,,35,10,,1,,5,15,,772,
,3,,41,,1284,7,362,729,825,,14,,,,,,,,3,1,160,,15,,,39,9,,2,,1,9,,572,
,3,,42,,1418,12,434,793,899,,24,,,,,,,,14,1,151,,14,,,63,13,,2,,2,4,,609,
,3,,43,,1295,12,304,755,887,,17,,,,,,,,13,1,169,,5,,,63,14,,2,,0,8,,590,
,3,,44,,1530,8,372,901,1070,,24,,,,,,,,10,3,193,,13,,,47,11,,2,,0,5,,756,
,3,,45,,1206,5,389,774,860,,23,,,,,,,,17,1,161,,12,,,32,7,,2,,2,6,,597,
,3,,46,,1282,10,343,756,835,,30,,,,,,,,10,1,200,,8,,,25,9,,0,,1,7,,535,
,3,,47,,1505,11,332,884,1075,,32,,,,,,,,9,3,236,,7,,,50,13,,3,,2,12,,697,
